geo\time,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Portugal,9.7,9.8,9.9,10.3,10.7,10.5,11.9,7.6,10.9,13.5,15.2,15.9,17.1,17.3,19.5,18.7,20.1,26.1,25.8,30.4,29.8,30.9,28.4
Romania,0,0,0,0,0,0,1.6,2,0.2,1.1,1.8,0.5,0.4,0.9,1.1,12.8,11.7,14.8,13.2,13.1,13.2,13.3,13.9
Slovenia,2,5.3,6,9.6,6.3,6,2.7,9,12.6,20.4,18.6,15.4,21.9,18.9,19.6,22.4,35.6,41.9,34.8,36,54.1,55.6,57.8
Slovakia,2.8,2.8,5,4.7,4.8,5.1,5.4,4.8,5.6,6.2,2,4.1,6.6,7.4,8.2,9.1,10.3,13.3,10.8,10.3,14.9,23,29.8
Finland,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,35.6,34.3,35.9,32.8,34.8,33.3,32.5,32.5,40.6,42,40.5
Sweden,26.3,30.4,32.6,35,37.3,38.3,39,39.7,41.3,44,44.8,47.9,46.9,45.8,49.5,48.1,47.3,47.3,48.7,49.9,48,48.9,46.8
United Kingdom,:,:,:,:,:,11.1,12.4,14.5,18.1,22.6,26.7,30.3,33.6,36.4,38.3,40.2,42,42.6,43.2,43.4,43.3,44,43.8
Iceland,7.9,9.4,8.3,10.6,12.7,15.4,15.8,16.1,16.4,:,:,:,:,19.2,20.5,20.8,25.3,28,29.9,29.7,28.2,33.2,:
Norway,13.7,19.9,24.7,22.4,29.5,30.6,44.3,45.4,45.8,36.5,39.3,40.3,42.6,43.6,43,42.1,39.9,39.8,39.2,42.2,42.8,38.2,38.8
Switzerland,38.7,41.2,42.5,43.7,42.9,45.3,46.6,46.7,47.5,48.7,50.6,50.1,51,49.9,51.3,50.5,50.1,50,51,53.5,52.7,52.5,52.5
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.9,2.6,3.2,5,4.5,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,1,0.7,0.8,0.3,0.3
Turkey,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.2,9.2
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
